RA,CÓDIFO DE TURMA,TURMA INDEFERIDA,MOTIVO,NOME_TURMA,TURNO,CAMPOS,ANO_INGRESSO
11002215,NAESTG001-17SB,Custos A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Custos,N,SB,2015
11002216,NS4BCJ0203-15SA,Fenômenos Eletromagnéticos S4-Noturno (Santo André),Critério de preenchimento de vagas,Fenômenos Eletromagnéticos,N,SA,2016
11002216,NAMCTB001-17SA,Álgebra Linear A-Noturno (Santo André),Critério de preenchimento de vagas,Álgebra Linear,N,SA,2016
11002415,NAESZG037-17SB,Inovação Estratégica A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Inovação Estratégica,N,SB,2015
11002415,DAESZG018-17SB,Estratégias de Comunicação Organizacional A-Matutino (São Bernardo do Campo),Critério de preenchimento de vagas,Estratégias de Comunicação Organizacional,D,SB,2015
11002713,NAESZM032-17SA,Biomateriais A-Noturno (Santo André),Critério de preenchimento de vagas,Biomateriais,N,SA,2013
11002914,NANHT1002-15SA,Bioética A-Noturno (Santo André),Critério de preenchimento de vagas,Bioética,N,SA,2014
11002916,NS1BCJ0203-15SA,Fenômenos Eletromagnéticos S1-Noturno (Santo André),Critério de preenchimento de vagas,Fenômenos Eletromagnéticos,N,SA,2016
11002916,NAESTO008-17SA,Mecânica dos Sólidos I A-Noturno (Santo André),Critério de preenchimento de vagas,Mecânica dos Sólidos I,N,SA,2016
11003015,NB2BCM0506-15SA,Comunicação e Redes B2-Noturno (Santo André),Critério de preenchimento de vagas,Comunicação e Redes,N,SA,2015
11003115,NBESTA017-17SA,Laboratório de Máquinas Elétricas B-Noturno (Santo André),Critério de preenchimento de vagas,Laboratório de Máquinas Elétricas,N,SA,2015
11003115,NAESTA021-17SA,Introdução ao Controle Discreto A-Noturno (Santo André),Critério de preenchimento de vagas,Introdução ao Controle Discreto,N,SA,2015
11003116,DBESTO008-17SA,Mecânica dos Sólidos I B-Matutino (Santo André),Critério de preenchimento de vagas,Mecânica dos Sólidos I,D,SA,2016
11003215,DAESTG005-17SB,Engenharia Econômica Aplicada a Sistemas de Gestão A-Matutino (São Bernardo do Campo),Critério de preenchimento de vagas,Engenharia Econômica Aplicada a Sistemas de Gestão,D,SB,2015
11003315,DBNHZ5019-15SA,Tecnologias da Informação e Comunicação na Educação B-Matutino (Santo André),Critério de preenchimento de vagas,Tecnologias da Informação e Comunicação na Educação,D,SA,2015
11003316,DAESTO014-17SA,Termodinâmica Aplicada I A-Matutino (Santo André),Critério de preenchimento de vagas,Termodinâmica Aplicada I,D,SA,2016
11003316,NBESTO012-17SA,Princípios de Administração B-Noturno (Santo André),Critério de preenchimento de vagas,Princípios de Administração,N,SA,2016
11003316,DAESTG023-17SB,Organização do Trabalho A-Matutino (São Bernardo do Campo),Critério de preenchimento de vagas,Organização do Trabalho,D,SB,2016
11003515,NAESTO012-17SA,Princípios de Administração A-Noturno (Santo André),Critério de preenchimento de vagas,Princípios de Administração,N,SA,2015
11003515,DB1BCK0104-15SA,Interações Atômicas e Moleculares B1-Matutino (Santo André),Critério de preenchimento de vagas,Interações Atômicas e Moleculares,D,SA,2015
11003516,NAESZG018-17SB,Estratégias de Comunicação Organizacional A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Estratégias de Comunicação Organizacional,N,SB,2016
11003715,NAESTU038-17SA,Tratamento de Águas Urbanas Servidas A-Noturno (Santo André),Critério de preenchimento de vagas,Tratamento de Águas Urbanas Servidas,N,SA,2015
11003715,NANHT1071-15SA,Práticas de Ecologia A-Noturno (Santo André),Critério de preenchimento de vagas,Práticas de Ecologia,N,SA,2015
11003716,NAMCZA017-13SA,Processamento de Linguagem Natural A-Noturno (Santo André),Critério de preenchimento de vagas,Processamento de Linguagem Natural,N,SA,2016
11003716,NA1MCTA025-13SA,Sistemas Distribuídos A1-Noturno (Santo André),Critério de preenchimento de vagas,Sistemas Distribuídos,N,SA,2016
11003716,DAMCZA019-17SA,Programação para Web A-Matutino (Santo André),Critério de preenchimento de vagas,Programação para Web,D,SA,2016
11003813,NAESTS006-17SB,"Laboratório de Guiagem, Navegação e Controle A-Noturno (São Bernardo do Campo)",Critério de preenchimento de vagas,"Laboratório de Guiagem, Navegação e Controle",N,SB,2013
11003815,NABHO1335-15SB,Formação do Sistema Internacional A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Formação do Sistema Internacional,N,SB,2015
11003816,DB1ESTA003-17SA,Sistemas de Controle I B1-Matutino (Santo André),Turma cancelada,Sistemas de Controle I,D,SA,2016
11003914,NABHO1101-15SB,Introdução à Economia A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Introdução à Economia,N,SB,2014
11004113,NA1ESTG021-17SB,Sistemas CAD/CAE A1-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Sistemas CAD/CAE,N,SB,2013
11004113,NAESTG001-17SB,Custos A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Custos,N,SB,2013
